adres_mail_od@op.pl,tytul_maila,tekst wiadomosci wysylanej,2021-04-20 09:05:00.513443
adres_mail_od@gmail.com,temat_maila,tres_wiadomosci email,2021-04-20 09:12:49.977647
oooop@op.pl,sub,mail content,2021-04-20 10:23:28.976313
asdasd@we.pl,sasfdf,xcsdf,2021-04-20 11:37:55.473247
asdsad@op.pl,rrter,rergfd,2021-04-20 11:39:22.906119
teraz@op.pl,teraz@op.pl,teraz@op.pl,2021-04-20 11:43:06.374086
asd@po.asd,fsdf,xfsfd,2021-04-20 11:49:42.831958
masil@mail.com,subject,text message,2021-04-24 08:04:25.027363
masil@mail.com,subject,text message,2021-04-24 08:08:03.205985
masil@mail.com,subject,text message,2021-04-24 08:13:35.073247
pllsdsd@pl.pl,asdas,ioxzcio8sa,2021-04-24 08:20:37.948786
maesea@wp.pl,asdafd,cnsijsd,2021-04-24 08:24:34.564902
pppp@po.pl,subsub,hello world,2021-04-24 08:28:03.486350
dfd@sd.pl,sdfsdfo,sfjidjvncxcv,2021-04-24 08:47:23.444305
po@po.pl,polpl,.;pkos,2021-04-24 08:49:31.373897
mailmail@mail.sa,aaaa,vbbbbbb,2021-04-24 08:51:36.873962
aaaa@aaa.aa,ppp,llplpl,2021-04-24 08:52:02.682134
mail@sjsk.pl,lkj,lkjh,2021-04-24 09:12:28.918362
