
adres_mail_od@op.pl, tytul_maila, tekst wiadomosci wysylanej
adres_mail_od@gmail.com, temat_maila, tres_wiadomosci email
oooop@op.pl, sub, mail content
asdasd@we.pl, sasfdf, xcsdf
asdsad@op.pl, rrter, rergfd
teraz@op.pl, teraz@op.pl, teraz@op.pl
asd@po.asd, fsdf, xfsfd
masil@mail.com, subject, text message
masil@mail.com, subject, text message
masil@mail.com, subject, text message
pllsdsd@pl.pl, asdas, ioxzcio8sa
maesea@wp.pl, asdafd, cnsijsd
pppp@po.pl, subsub, hello world
dfd@sd.pl, sdfsdfo, sfjidjvncxcv
po@po.pl, polpl, .;pkos
mailmail@mail.sa, aaaa, vbbbbbb
aaaa@aaa.aa, ppp, llplpl
mail@sjsk.pl, lkj, lkjh
